Vg,Id
-0.116145,4.651288062726929e-10
-0.0181784,4.0732079611520734e-09
0.095925,1.0565227318290157e-07
0.193737,1.6606430846679884e-06
0.291737,1.2829338649678124e-05
0.400874,4.869996435969974e-05
0.504691,0.00010301160537277527
0.603088,0.0001768410442607979
0.712468,0.000267738845699775
0.800004,0.00032913817298910745
0.903954,0.0004216882364733923
1.00247,0.00045718263426369375
1.10647,0.0004955895128416457
1.205,0.0005153180896799056
1.309,0.0005357505624484887
1.40754,0.0005342820707014456
