Vg,Id
-0.104965,1.9337023589423744e-10
-0.0504956,5.487313166863431e-10
0.0203086,2.17417024925935e-09
0.0419086,6.713541086583655e-09
0.107139,3.874889737821041e-08
0.139721,1.0552346691020872e-07
0.177733,3.3958913416345536e-07
0.204907,7.198449646938276e-07
0.248438,1.9597264606954317e-06
0.30294,4.9060209832267834e-06
0.406691,1.3333927338337826e-05
0.505099,2.1953812398369457e-05
0.603563,2.9331521618069634e-05
0.707545,3.3152217494932394e-05
0.806075,3.447196667631925e-05
0.915554,3.5833259082707776e-05
1.0086,3.8855389481656385e-05
1.1126,4.0395997148775987e-05
1.20567,4.029141514267258e-05
1.31515,4.188258748579957e-05
