noise_v,q_v,qb_v,gq_v,gqb_v
0.0,0.154,0.6994,0.154,0.6994
0.001,0.1542,0.6994,0.1552,0.6984
0.002,0.1544,0.6994,0.1564,0.6974
0.003,0.1546,0.6993,0.1576,0.6963
0.004,0.1547,0.6993,0.1587,0.6953
0.005,0.1549,0.6993,0.1599,0.6943
0.006,0.1551,0.6993,0.1611,0.6933
0.007,0.1553,0.6992,0.1623,0.6922
0.008,0.1554,0.6992,0.1634,0.6912
0.009,0.1556,0.6992,0.1646,0.6902
0.01,0.1558,0.6991,0.1658,0.6891
0.011,0.156,0.6991,0.167,0.6881
0.012,0.1562,0.6991,0.1682,0.6871
0.013,0.1564,0.699,0.1694,0.686
0.014,0.1565,0.699,0.1705,0.685
0.015,0.1567,0.6989,0.1717,0.6839
0.016,0.1569,0.6989,0.1729,0.6829
0.017,0.1571,0.6989,0.1741,0.6819
0.018,0.1573,0.6988,0.1753,0.6808
0.019,0.1575,0.6988,0.1765,0.6798
0.02,0.1577,0.6987,0.1777,0.6787
0.021,0.1579,0.6987,0.1789,0.6777
0.022,0.1581,0.6986,0.1801,0.6766
0.023,0.1583,0.6986,0.1813,0.6756
0.024,0.1585,0.6985,0.1825,0.6745
0.025,0.1587,0.6984,0.1837,0.6734
0.026,0.1589,0.6984,0.1849,0.6724
0.027,0.1591,0.6983,0.1861,0.6713
0.028,0.1593,0.6983,0.1873,0.6703
0.029,0.1595,0.6982,0.1885,0.6692
0.03,0.1598,0.6981,0.1898,0.6681
0.031,0.16,0.698,0.191,0.667
0.032,0.1602,0.698,0.1922,0.666
0.033,0.1604,0.6979,0.1934,0.6649
0.034,0.1606,0.6978,0.1946,0.6638
0.035,0.1609,0.6977,0.1959,0.6627
0.036,0.1611,0.6976,0.1971,0.6616
0.037,0.1613,0.6975,0.1983,0.6605
0.038,0.1616,0.6974,0.1996,0.6594
0.039,0.1618,0.6974,0.2008,0.6584
0.04,0.162,0.6972,0.202,0.6572
0.041,0.1623,0.6971,0.2033,0.6561
0.042,0.1625,0.697,0.2045,0.655
0.043,0.1628,0.6969,0.2058,0.6539
0.044,0.163,0.6968,0.207,0.6528
0.045,0.1632,0.6967,0.2082,0.6517
0.046,0.1635,0.6966,0.2095,0.6506
0.047,0.1638,0.6964,0.2108,0.6494
0.048,0.164,0.6963,0.212,0.6483
0.049,0.1643,0.6962,0.2133,0.6472
