sweep_v,bl_v,q_v,qb_v
0.49,0.49,0.6967,0.1563
0.489,0.489,0.6967,0.1563
0.488,0.488,0.6966,0.1564
0.487,0.487,0.6965,0.1564
0.486,0.486,0.6964,0.1564
0.485,0.485,0.6963,0.1564
0.484,0.484,0.6963,0.1564
0.483,0.483,0.6962,0.1564
0.482,0.482,0.6961,0.1564
0.481,0.481,0.696,0.1564
0.48,0.48,0.6959,0.1565
0.479,0.479,0.6958,0.1565
0.478,0.478,0.6957,0.1565
0.477,0.477,0.6956,0.1565
0.476,0.476,0.6955,0.1565
0.475,0.475,0.6954,0.1565
0.474,0.474,0.6953,0.1566
0.473,0.473,0.6952,0.1566
0.472,0.472,0.6951,0.1566
0.471,0.471,0.695,0.1566
0.47,0.47,0.6949,0.1566
0.469,0.469,0.6948,0.1567
0.468,0.468,0.6947,0.1567
0.467,0.467,0.6946,0.1567
0.466,0.466,0.6944,0.1567
0.465,0.465,0.6943,0.1567
0.464,0.464,0.6942,0.1568
0.463,0.463,0.6941,0.1568
0.462,0.462,0.6939,0.1568
0.461,0.461,0.6938,0.1568
0.46,0.46,0.6937,0.1568
0.459,0.459,0.6935,0.1569
0.458,0.458,0.6934,0.1569
0.457,0.457,0.6932,0.1569
0.456,0.456,0.6931,0.1569
0.455,0.455,0.693,0.157
0.454,0.454,0.6928,0.157
0.453,0.453,0.6927,0.157
0.452,0.452,0.6925,0.157
0.451,0.451,0.6923,0.1571
0.45,0.45,0.6922,0.1571
0.449,0.449,0.692,0.1571
0.448,0.448,0.6919,0.1572
0.447,0.447,0.6917,0.1572
0.446,0.446,0.6915,0.1572
0.445,0.445,0.6913,0.1572
0.444,0.444,0.6912,0.1573
0.443,0.443,0.691,0.1573
0.442,0.442,0.6908,0.1573
0.441,0.441,0.6906,0.1574
0.44,0.44,0.6904,0.1574
0.439,0.439,0.6902,0.1574
0.438,0.438,0.69,0.1575
0.437,0.437,0.6898,0.1575
0.436,0.436,0.6896,0.1575
0.435,0.435,0.6894,0.1576
0.434,0.434,0.6892,0.1576
0.433,0.433,0.689,0.1576
0.432,0.432,0.6888,0.1577
0.431,0.431,0.6886,0.1577
0.43,0.43,0.6884,0.1578
0.429,0.429,0.6881,0.1578
0.428,0.428,0.6879,0.1578
0.427,0.427,0.6877,0.1579
0.426,0.426,0.6875,0.1579
0.425,0.425,0.6872,0.158
0.424,0.424,0.687,0.158
0.423,0.423,0.6867,0.158
0.422,0.422,0.6865,0.1581
0.421,0.421,0.6862,0.1581
0.42,0.42,0.686,0.1582
0.419,0.419,0.6857,0.1582
0.418,0.418,0.6855,0.1583
0.417,0.417,0.6852,0.1583
0.416,0.416,0.685,0.1584
0.415,0.415,0.6847,0.1584
0.414,0.414,0.6844,0.1585
0.413,0.413,0.6841,0.1585
0.412,0.412,0.6839,0.1586
0.411,0.411,0.6836,0.1586
0.41,0.41,0.6833,0.1587
0.409,0.409,0.683,0.1587
0.408,0.408,0.6827,0.1588
0.407,0.407,0.6824,0.1588
0.406,0.406,0.6821,0.1589
0.405,0.405,0.6818,0.1589
0.404,0.404,0.6815,0.159
0.403,0.403,0.6812,0.1591
0.402,0.402,0.6809,0.1591
0.401,0.401,0.6805,0.1592
0.4,0.4,0.6802,0.1592
0.399,0.399,0.6799,0.1593
0.398,0.398,0.6796,0.1594
0.397,0.397,0.6792,0.1594
0.396,0.396,0.6789,0.1595
0.395,0.395,0.6785,0.1595
0.394,0.394,0.6782,0.1596
0.393,0.393,0.6778,0.1597
0.392,0.392,0.6775,0.1597
0.391,0.391,0.6771,0.1598
0.39,0.39,0.6768,0.1599
0.389,0.389,0.6764,0.1599
0.388,0.388,0.676,0.16
0.387,0.387,0.6756,0.1601
0.386,0.386,0.6753,0.1602
0.385,0.385,0.6749,0.1602
0.384,0.384,0.6745,0.1603
0.383,0.383,0.6741,0.1604
0.382,0.382,0.6737,0.1605
0.381,0.381,0.6733,0.1605
0.38,0.38,0.6729,0.1606
