noise_v,q_v,qb_v,gq_v,gqb_v
0.136,0.1379,0.7,0.001921,0.836
0.137,0.1378,0.7,0.0008375,0.837
0.138,0.1378,0.7,-0.0002459,0.838
0.139,0.1377,0.7,-0.001329,0.839
0.14,0.1376,0.7,-0.002412,0.84
0.141,0.1375,0.7,-0.003494,0.841
0.142,0.1374,0.7,-0.004576,0.842
0.143,0.1373,0.7,-0.005658,0.843
0.144,0.1373,0.7,-0.006739,0.844
0.145,0.1372,0.7,-0.00782,0.845
0.146,0.1371,0.7,-0.008901,0.846
0.147,0.137,0.7,-0.009981,0.847
0.148,0.1369,0.7,-0.01106,0.848
0.149,0.1369,0.7,-0.01214,0.849
0.15,0.1368,0.7,-0.01322,0.85
0.151,0.1367,0.7,-0.0143,0.851
0.152,0.1366,0.7,-0.01538,0.852
0.153,0.1365,0.7,-0.01646,0.853
0.154,0.1365,0.7,-0.01753,0.854
0.155,0.1364,0.7,-0.01861,0.855
0.156,0.1363,0.7,-0.01969,0.856
0.157,0.1362,0.7,-0.02077,0.857
0.158,0.1362,0.7,-0.02184,0.858
0.159,0.1361,0.7,-0.02292,0.859
0.16,0.136,0.7,-0.024,0.86
0.161,0.1359,0.7,-0.02507,0.861
0.162,0.1359,0.7,-0.02615,0.862
0.163,0.1358,0.7,-0.02722,0.863
0.164,0.1357,0.7,-0.0283,0.864
0.165,0.1356,0.7,-0.02937,0.865
0.166,0.1356,0.7,-0.03045,0.866
0.167,0.1355,0.7,-0.03152,0.867
0.168,0.1354,0.7,-0.0326,0.868
0.169,0.1353,0.7,-0.03367,0.869
0.17,0.1353,0.7,-0.03474,0.87
0.171,0.1352,0.7,-0.03582,0.871
0.172,0.1351,0.7,-0.03689,0.872
0.173,0.135,0.7,-0.03796,0.873
0.174,0.135,0.7,-0.03903,0.874
0.175,0.1349,0.7,-0.0401,0.875
0.176,0.1348,0.7,-0.04118,0.876
0.177,0.1348,0.7,-0.04225,0.877
0.178,0.1347,0.7,-0.04332,0.878
0.179,0.1346,0.7,-0.04439,0.879
0.18,0.1345,0.7,-0.04546,0.88
0.181,0.1345,0.7,-0.04653,0.881
0.182,0.1344,0.7,-0.0476,0.882
0.183,0.1343,0.7,-0.04867,0.883
0.184,0.1343,0.7,-0.04974,0.884
0.185,0.1342,0.7,-0.05081,0.885
0.186,0.1341,0.7,-0.05188,0.886
0.187,0.1341,0.7,-0.05294,0.887
0.188,0.134,0.7,-0.05401,0.888
0.189,0.1339,0.7,-0.05508,0.889
0.19,0.1339,0.7,-0.05615,0.89
0.191,0.1338,0.7,-0.05722,0.891
0.192,0.1337,0.7,-0.05828,0.892
0.193,0.1336,0.7,-0.05935,0.893
0.194,0.1336,0.7,-0.06042,0.894
