sweep_v,q_v,qb_v
0.491,0.491,0.002195
0.492,0.492,0.002131
0.493,0.493,0.002069
0.494,0.494,0.002008
0.495,0.495,0.001949
0.496,0.496,0.001892
0.497,0.497,0.001836
0.498,0.498,0.001781
0.499,0.499,0.001728
0.5,0.5,0.001677
0.501,0.501,0.001626
0.502,0.502,0.001578
0.503,0.503,0.00153
0.504,0.504,0.001484
0.505,0.505,0.001439
0.506,0.506,0.001395
0.507,0.507,0.001353
0.508,0.508,0.001312
0.509,0.509,0.001272
0.51,0.51,0.001233
0.511,0.511,0.001195
0.512,0.512,0.001158
0.513,0.513,0.001122
0.514,0.514,0.001087
0.515,0.515,0.001053
0.516,0.516,0.001021
0.517,0.517,0.0009887
0.518,0.518,0.0009577
0.519,0.519,0.0009276
0.52,0.52,0.0008983
0.521,0.521,0.0008699
0.522,0.522,0.0008423
0.523,0.523,0.0008155
0.524,0.524,0.0007895
0.525,0.525,0.0007643
0.526,0.526,0.0007398
0.527,0.527,0.000716
0.528,0.528,0.0006929
0.529,0.529,0.0006705
0.53,0.53,0.0006487
0.531,0.531,0.0006276
0.532,0.532,0.0006072
0.533,0.533,0.0005873
0.534,0.534,0.000568
0.535,0.535,0.0005494
0.536,0.536,0.0005313
0.537,0.537,0.0005137
0.538,0.538,0.0004967
0.539,0.539,0.0004801
0.54,0.54,0.0004641
0.541,0.541,0.0004486
0.542,0.542,0.0004336
0.543,0.543,0.000419
0.544,0.544,0.0004049
0.545,0.545,0.0003913
0.546,0.546,0.000378
0.547,0.547,0.0003652
0.548,0.548,0.0003528
0.549,0.549,0.0003407
0.55,0.55,0.0003291
0.551,0.551,0.0003178
0.552,0.552,0.0003069
0.553,0.553,0.0002963
0.554,0.554,0.0002861
0.555,0.555,0.0002762
0.556,0.556,0.0002666
0.557,0.557,0.0002574
0.558,0.558,0.0002484
0.559,0.559,0.0002398
0.56,0.56,0.0002314
0.561,0.561,0.0002233
0.562,0.562,0.0002154
0.563,0.563,0.0002079
0.564,0.564,0.0002006
0.565,0.565,0.0001935
0.566,0.566,0.0001867
0.567,0.567,0.0001801
0.568,0.568,0.0001737
0.569,0.569,0.0001675
0.57,0.57,0.0001616
0.571,0.571,0.0001558
0.572,0.572,0.0001503
0.573,0.573,0.0001449
0.574,0.574,0.0001397
0.575,0.575,0.0001347
0.576,0.576,0.0001299
0.577,0.577,0.0001253
0.578,0.578,0.0001208
0.579,0.579,0.0001164
0.58,0.58,0.0001123
0.581,0.581,0.0001082
0.582,0.582,0.0001043
0.583,0.583,0.0001006
0.584,0.584,9.698e-05
0.585,0.585,9.349e-05
0.586,0.586,9.013e-05
0.587,0.587,8.688e-05
0.588,0.588,8.376e-05
0.589,0.589,8.074e-05
0.59,0.59,7.784e-05
0.591,0.591,7.504e-05
0.592,0.592,7.234e-05
0.593,0.593,6.974e-05
0.594,0.594,6.724e-05
0.595,0.595,6.482e-05
0.596,0.596,6.25e-05
0.597,0.597,6.026e-05
0.598,0.598,5.81e-05
0.599,0.599,5.602e-05
0.6,0.6,5.402e-05
0.601,0.601,5.209e-05
0.602,0.602,5.023e-05
0.603,0.603,4.845e-05
0.604,0.604,4.672e-05
0.605,0.605,4.507e-05
0.606,0.606,4.347e-05
0.607,0.607,4.193e-05
0.608,0.608,4.045e-05
0.609,0.609,3.903e-05
0.61,0.61,3.766e-05
0.611,0.611,3.634e-05
0.612,0.612,3.507e-05
0.613,0.613,3.385e-05
0.614,0.614,3.267e-05
0.615,0.615,3.154e-05
0.616,0.616,3.045e-05
0.617,0.617,2.94e-05
0.618,0.618,2.839e-05
0.619,0.619,2.742e-05
0.62,0.62,2.648e-05
