configuration,hold_snm_mv,read_snm_mv,read_disturb_mv,read_stability_margin_mv,read_delay_ps_50mv,write_delay_ps_q50,write_required_bl_drop_mv,read_energy_fj,write_energy_fj,hold_leakage_pw
No-RC,268.0,108.0,143.7,206.29999999999998,15.20000000000001,37.26274509803921,453.3637144390768,0.029483061439997925,0.03896783165830722,1383.8888
RC candidate (diagnostic),267.5,106.0,145.2,204.79999999999998,15.429,38.52394366197183,449.36265515380455,0.04251518831000184,0.11364864053374489,1386.8337
