sweep_v,bl_v,q_v,qb_v
0.52,0.52,0.6984,0.1542
0.519,0.519,0.6984,0.1542
0.518,0.518,0.6984,0.1542
0.517,0.517,0.6983,0.1542
0.516,0.516,0.6983,0.1542
0.515,0.515,0.6983,0.1542
0.514,0.514,0.6982,0.1542
0.513,0.513,0.6982,0.1543
0.512,0.512,0.6981,0.1543
0.511,0.511,0.6981,0.1543
0.51,0.51,0.6981,0.1543
0.509,0.509,0.698,0.1543
0.508,0.508,0.698,0.1543
0.507,0.507,0.6979,0.1543
0.506,0.506,0.6979,0.1543
0.505,0.505,0.6978,0.1543
0.504,0.504,0.6978,0.1543
0.503,0.503,0.6977,0.1543
0.502,0.502,0.6977,0.1543
0.501,0.501,0.6976,0.1543
0.5,0.5,0.6976,0.1544
0.499,0.499,0.6975,0.1544
0.498,0.498,0.6975,0.1544
0.497,0.497,0.6974,0.1544
0.496,0.496,0.6974,0.1544
0.495,0.495,0.6973,0.1544
0.494,0.494,0.6972,0.1544
0.493,0.493,0.6972,0.1544
0.492,0.492,0.6971,0.1544
0.491,0.491,0.6971,0.1544
0.49,0.49,0.697,0.1545
0.489,0.489,0.6969,0.1545
0.488,0.488,0.6969,0.1545
0.487,0.487,0.6968,0.1545
0.486,0.486,0.6967,0.1545
0.485,0.485,0.6966,0.1545
0.484,0.484,0.6966,0.1545
0.483,0.483,0.6965,0.1545
0.482,0.482,0.6964,0.1546
0.481,0.481,0.6963,0.1546
0.48,0.48,0.6962,0.1546
0.479,0.479,0.6961,0.1546
0.478,0.478,0.6961,0.1546
0.477,0.477,0.696,0.1546
0.476,0.476,0.6959,0.1546
0.475,0.475,0.6958,0.1547
0.474,0.474,0.6957,0.1547
0.473,0.473,0.6956,0.1547
0.472,0.472,0.6955,0.1547
0.471,0.471,0.6954,0.1547
0.47,0.47,0.6953,0.1547
0.469,0.469,0.6952,0.1548
0.468,0.468,0.6951,0.1548
0.467,0.467,0.695,0.1548
0.466,0.466,0.6949,0.1548
0.465,0.465,0.6947,0.1548
0.464,0.464,0.6946,0.1549
0.463,0.463,0.6945,0.1549
0.462,0.462,0.6944,0.1549
0.461,0.461,0.6943,0.1549
0.46,0.46,0.6941,0.1549
0.459,0.459,0.694,0.155
