noise_v,q_v,qb_v,gq_v,gqb_v
0.135,0.7,0.14,0.835,0.004968
0.136,0.7,0.1399,0.836,0.003884
0.137,0.7,0.1398,0.837,0.002801
0.138,0.7,0.1397,0.838,0.001718
0.139,0.7,0.1396,0.839,0.0006362
0.14,0.7,0.1396,0.84,-0.0004458
0.141,0.7,0.1395,0.841,-0.001527
0.142,0.7,0.1394,0.842,-0.002609
0.143,0.7,0.1393,0.843,-0.00369
0.144,0.7,0.1392,0.844,-0.00477
0.145,0.7,0.1391,0.845,-0.00585
0.146,0.7,0.1391,0.846,-0.00693
0.147,0.7,0.139,0.847,-0.00801
0.148,0.7,0.1389,0.848,-0.009089
0.149,0.7,0.1388,0.849,-0.01017
0.15,0.7,0.1388,0.85,-0.01125
0.151,0.7,0.1387,0.851,-0.01233
0.152,0.7,0.1386,0.852,-0.0134
0.153,0.7,0.1385,0.853,-0.01448
0.154,0.7,0.1384,0.854,-0.01556
0.155,0.7,0.1384,0.855,-0.01663
0.156,0.7,0.1383,0.856,-0.01771
0.157,0.7,0.1382,0.857,-0.01879
0.158,0.7,0.1381,0.858,-0.01986
0.159,0.7,0.1381,0.859,-0.02094
0.16,0.7,0.138,0.86,-0.02202
0.161,0.7,0.1379,0.861,-0.02309
0.162,0.7,0.1378,0.862,-0.02417
0.163,0.7,0.1378,0.863,-0.02524
0.164,0.7,0.1377,0.864,-0.02631
0.165,0.7,0.1376,0.865,-0.02739
0.166,0.7,0.1375,0.866,-0.02846
0.167,0.7,0.1375,0.867,-0.02954
0.168,0.7,0.1374,0.868,-0.03061
0.169,0.7,0.1373,0.869,-0.03168
0.17,0.7,0.1372,0.87,-0.03275
0.171,0.7,0.1372,0.871,-0.03383
0.172,0.7,0.1371,0.872,-0.0349
0.173,0.7,0.137,0.873,-0.03597
0.174,0.7,0.137,0.874,-0.03704
0.175,0.7,0.1369,0.875,-0.03811
0.176,0.7,0.1368,0.876,-0.03918
0.177,0.7,0.1367,0.877,-0.04025
0.178,0.7,0.1367,0.878,-0.04132
0.179,0.7,0.1366,0.879,-0.04239
0.18,0.7,0.1365,0.88,-0.04346
0.181,0.7,0.1365,0.881,-0.04453
0.182,0.7,0.1364,0.882,-0.0456
0.183,0.7,0.1363,0.883,-0.04667
0.184,0.7,0.1363,0.884,-0.04774
0.185,0.7,0.1362,0.885,-0.04881
0.186,0.7,0.1361,0.886,-0.04988
0.187,0.7,0.1361,0.887,-0.05094
0.188,0.7,0.136,0.888,-0.05201
0.189,0.7,0.1359,0.889,-0.05308
0.19,0.7,0.1359,0.89,-0.05415
0.191,0.7,0.1358,0.891,-0.05521
0.192,0.7,0.1357,0.892,-0.05628
0.193,0.7,0.1357,0.893,-0.05735
0.194,0.7,0.1356,0.894,-0.05841
0.195,0.7,0.1355,0.895,-0.05948
0.196,0.7,0.1355,0.896,-0.06054
0.197,0.7,0.1354,0.897,-0.06161
0.198,0.7,0.1353,0.898,-0.06267
0.199,0.7,0.1353,0.899,-0.06374
0.2,0.7,0.1352,0.9,-0.0648
0.201,0.7,0.1351,0.901,-0.06587
0.202,0.7,0.1351,0.902,-0.06693
0.203,0.7,0.135,0.903,-0.068
