tag,U0,XL,DVTSHIFT,DeltaWGAA,DeltaTGAA,loss,log_rmse_vd005,log_rmse_vd070,log_rmse_all,rel_rmse_high_vd005,rel_rmse_high_vd070,max_abs_log_err,status
eval_0000,0.029999999999999995,1.2000000000000002e-08,0.0,0.0,0.0,1.0581919585649697,1.0656099365124119,0.8255922474006693,0.9579363170052356,0.18130163963218418,0.4870693040993771,2.1372527209786956,ok
eval_0001,0.44279279897699814,2.3696328005987363e-08,0.5460441755227997,-6.482758360275477e-09,1.954298423031667e-09,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0002,0.0027977140860514166,3.422240384745973e-08,-0.09344079896068767,4.4869559792228e-09,2.715576298646347e-10,1.525437744676616,1.3035651200037797,1.1650615868835983,1.239017163754511,0.9447297704320441,0.9647407690486562,2.5135890399897205,ok
eval_0003,0.019118450739671337,3.9510077007163506e-08,0.0005909537957602851,-4.320923768785396e-09,1.1560512988874218e-09,1.7001792973070229,1.4027679637896915,1.516476737945575,1.4584549885932228,0.7554717996107567,0.8560235918145777,3.21890610946717,ok
eval_0004,0.011501179622614547,1.5049532649687508e-08,-0.2344706659572401,-3.7191567874818407e-09,1.6720115846955963e-09,1.0990753913508546,0.9394745075262816,0.7888895732611837,0.8704509557555852,0.7086429951147316,0.8155199088537323,1.8849472778501015,ok
eval_0005,0.002178170454111644,2.5495545571745346e-08,0.09682453429148091,-1.0477704917285328e-08,-1.6912930621025377e-09,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0006,0.03001996816044207,1.8178975464443132e-08,-0.5549941377518391,7.258946060710551e-09,4.794871645221122e-10,2.1583147608210655,2.2174118701673335,1.852846791731884,2.050525737746693,0.18919916723840075,0.5293943199240843,5.7091660184899835,ok
eval_0007,0.8135795871900021,1.1925532476003428e-08,-0.7145089185618304,-1.3123836089487861e-09,1.5237663931274686e-09,6.11401424369532,3.039851171632682,2.1292833950251535,2.642235494498958,21.09315090966315,2.05204075164593,6.688613197906033,ok
eval_0008,0.0007187241123188357,4.6023104797438996e-09,-0.7383749654224898,-7.336433584511211e-10,-1.0986598673615743e-09,2.024139755961929,1.8041503326729527,1.647752489706096,1.7308439410355019,0.9707246250418847,0.9845808078009642,4.1638025383725745,ok
eval_0009,0.0001140803288283166,-7.061589448477257e-10,-0.447422479669249,-7.002313915718202e-09,-1.0104649104828357e-10,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
