Vg,Id,Vd,Id_model,log10_Id_ref,log10_Id_model,log_error_dec,rel_error
-0.104965,1.9337023589423744e-10,0.05,1.179936788990825e-10,-9.713610372971083,-9.92814125788692,-0.21453088491583827,-0.3898043390523744
-0.0504956,5.48731316686343e-10,0.05,5.751223886138614e-10,-9.260640253443505,-9.240239725669186,0.02040052777431889,0.04809470705424234
0.0203086,2.17417024925935e-09,0.05,4.516889316705637e-09,-8.662706451317376,-8.345160551398518,0.3175458999188585,1.07752328422503
0.0419086,6.713541086583655e-09,0.05,8.463744175925926e-09,-8.173048348875326,-8.07243747204126,0.10061087683406633,0.2606974570901008
0.107139,3.874889737821041e-08,0.05,5.5961854601226985e-08,-7.411740651076947,-7.252107901225734,0.15963274985121334,0.4442179878051421
0.139721,1.0552346691020874e-07,0.05,1.4114263421052647e-07,-6.976650948742597,-6.850341781386652,0.1263091673559451,0.33754735646267703
0.177733,3.395891341634554e-07,0.05,3.9952219375000006e-07,-6.46904621433017,-6.398459090303841,0.07058712402632938,0.17648697663482044
0.204907,7.198449646938276e-07,0.05,7.96706379310345e-07,-6.142761028885529,-6.098701705379695,0.044059323505833525,0.10677495625632248
0.248438,1.959726460695432e-06,0.05,2.0809982909930707e-06,-5.707804543388936,-5.681728276449874,0.026076266939061732,0.0618820191133225
0.30294,4.906020983226784e-06,0.05,5.106321224489795e-06,-5.309270598632667,-5.291891868412437,0.017378730220229954,0.0408274326481313
0.406691,1.3333927338337826e-05,0.05,1.3759193103448277e-05,-4.875041915840492,-4.861407034196077,0.013634881644414953,0.03189351151537505
0.505099,2.1953812398369457e-05,0.05,2.2109924999999998e-05,-4.658490051284939,-4.655412730607238,0.0030773206777015005,0.007110956347706411
0.603563,2.9331521618069634e-05,0.05,2.8758519999999997e-05,-4.532665406736799,-4.541233467815303,-0.008568061078504385,-0.01953535263293809
0.707545,3.3152217494932394e-05,0.05,3.388189e-05,-4.479487417075081,-4.470032371845552,0.009455045229528558,0.022009764661417918
0.806075,3.447196667631925e-05,0.05,3.741922131147541e-05,-4.462533938747307,-4.4269052543466465,0.03562868440066058,0.08549714215118441
0.915554,3.5833259082707776e-05,0.05,4.0358929310344825e-05,-4.445713690375118,-4.394060363762605,0.05165332661251387,0.12629803549800536
1.0086,3.885538948165639e-05,0.05,4.230371428571429e-05,-4.410548733367396,-4.373621499694162,0.03692723367323403,0.08874765766241637
1.1126,4.039599714877599e-05,0.05,4.408428571428571e-05,-4.39366166712518,-4.355716191570296,0.037945475554884034,0.09130331779968144
1.20567,4.029141514267258e-05,0.05,4.54167e-05,-4.394787478755561,-4.342784425022856,0.05200305373270542,0.12720538206907597
1.31515,4.188258748579957e-05,0.05,4.674156451612904e-05,-4.377966495663389,-4.330296755158378,0.04766974050501105,0.11601425131570306
-0.116145,4.651288062726929e-10,0.7,2.553e-10,-9.33242676300865,-9.59294918519575,-0.2605224221870994,-0.45111978325779234
-0.0181784,4.0732079611520734e-09,0.7,4.030327149909068e-09,-8.390063416067902,-8.394659699855499,-0.004596283787597244,-0.01052752809382149
0.095925,1.0565227318290157e-07,0.7,9.891610017889086e-08,-6.976121154360177,-7.004733014269642,-0.02861185990946513,-0.06375795618092645
0.193737,1.6606430846679884e-06,0.7,1.3183214285714279e-06,-5.779723698683736,-5.8799786886526535,-0.10025498996891713,-0.20613800717148126
0.291737,1.2829338649678124e-05,0.7,9.306744910714287e-06,-4.891795730857991,-5.031202189534805,-0.139406458676814,-0.2745732913560759
0.400874,4.869996435969974e-05,0.7,3.506362469387756e-05,-4.312471356616811,-4.455143190832603,-0.14267183421579155,-0.2800071795762245
0.504691,0.0001030116053727,0.7,7.569644408163265e-05,-3.987113844562792,-4.120924521451015,-0.13381067688822323,-0.26516586351838745
0.603088,0.0001768410442607,0.7,0.00012269426693877551,-3.752416929214475,-3.9111757298159775,-0.1587588006015026,-0.30618897071259665
0.712468,0.0002677388456997,0.7,0.000178184,-3.5722886133139475,-3.7491312959426923,-0.1768426826287448,-0.3344858138372125
0.800004,0.0003291381729891,0.7,0.00022280196721311476,-3.482621745912489,-3.652080978911106,-0.1694592329986171,-0.3230746674270042
0.903954,0.0004216882364733,0.7,0.000274377164453524,-3.3750085140100157,-3.5616520364219526,-0.18664352241193694,-0.3493364511464224
1.00247,0.0004571826342636,0.7,0.000321688,-3.3399102743107156,-3.492565139380856,-0.15265486507014048,-0.29636872468230546
1.10647,0.0004955895128416,0.7,0.0003689812857142857,-3.3048778922943853,-3.4329956601746083,-0.128117767880223,-0.2554699481055821
1.205,0.0005153180896799,0.7,0.0004109,-3.287924611836876,-3.3862638587381286,-0.09833924690125251,-0.2026284187787029
1.309,0.0005357505624484,0.7,0.0004521,-3.271037364349394,-3.344765492965706,-0.07372812861631184,-0.1561371434984853
1.40754,0.0005342820707014,0.7,0.0004874357849462366,-3.2722293995136975,-3.312082590386839,-0.03985319087314165,-0.08768081192330504
