tag,U0,XL,DVTSHIFT,DeltaWGAA,DeltaTGAA,loss,log_rmse_vd005,log_rmse_vd070,log_rmse_all,rel_rmse_high_vd005,rel_rmse_high_vd070,max_abs_log_err,status
eval_0000,0.029999999999999995,1.2000000000000002e-08,0.0,0.0,0.0,0.7228072594420122,0.5925834140573575,0.7184530227378971,0.6515344705304251,0.11433157108169686,0.3608203549955505,1.9284757908738754,ok
eval_0001,0.0023214016931510303,2.8047879348072316e-08,0.27602041186759935,-3.6150819054460133e-09,-1.0115667534289e-09,7.059987312874038,7.62802627807086,5.49900459810197,6.7650255052034955,0.9799676204848311,0.9864444306521201,11.330726833690314,ok
eval_0002,0.0002514739342278566,2.482404434437526e-08,0.23331261776526732,1.1797371357031708e-08,1.1810950450435485e-09,2.079975449291851,1.6632266493697514,1.9202857900875447,1.7820588747699555,0.9926031260707527,0.9935073707418837,2.24463502315577,ok
eval_0003,0.03833444333609621,7.198592183873859e-09,0.15031806467234185,3.740456448821383e-09,1.6871198339032742e-09,1.1827274437159268,1.1833165925049203,0.8627595043258103,1.0529644206137132,0.6975863696648349,0.16750045101658895,2.245441396396415,ok
eval_0004,0.0052203204659727045,2.893782085793452e-08,-0.5547939648754244,1.7001880928087229e-09,-1.4820836269570572e-09,1.8698898958395358,1.6821870893206974,1.500692436328258,1.6040600629928479,0.8859299655702683,0.8862689200743182,3.791810992743325,ok
eval_0005,0.0009214956041377886,2.0797966584577904e-08,-0.3722808447881165,-2.495699811077352e-10,-9.142796375295428e-10,1.6728104089442928,1.3793444698732822,1.379591763045182,1.379454383422763,0.9775068668665318,0.9781999699436669,1.7526232002627262,ok
eval_0006,0.22893913704391497,2.2290392937113888e-08,0.3876007355735258,-1.3590526026247688e-08,2.4625026106210557e-10,294.94007333717764,294.0624084387619,295.3605656909917,294.6400733371777,1.0,1.0,296.7289626356506,ok
eval_0007,0.061704601513866246,1.0115166636008588e-08,-0.6886046026827976,-1.1653824096483427e-08,-4.904049415813985e-10,294.94007333717764,294.0624084387619,295.3605656909917,294.6400733371777,1.0,1.0,296.7289626356506,ok
eval_0008,0.31729325457712854,1.6388622922829936e-08,0.7534993920004732,-4.4352429495710665e-09,-7.740487404589639e-10,224.59494889670822,236.48474472622905,208.05586039529302,224.2949785489465,0.9999614923214345,0.9998408260901666,296.24758307078554,ok
eval_0009,0.016436566352812796,3.186451062118398e-08,-0.5692041969298821,2.1638794351234892e-09,8.202740055073927e-10,1.9660180406071774,1.885951855171884,1.6279446351595717,1.7759156305257382,0.6317027457013299,0.6356466548415985,4.3142505825949655,ok
eval_0010,0.00012689940236132103,-2.3739367930248747e-09,-0.20284915081758373,-8.19923322380455e-09,-1.7176139810282508e-09,294.94007333717764,294.0624084387619,295.3605656909917,294.6400733371777,1.0,1.0,296.7289626356506,ok
eval_0011,0.13322005054931146,1.4740629630420403e-08,-0.47116178288690613,6.95730846363437e-09,1.8866035386616997e-09,3.5806360506796744,2.775447529460096,2.3431820734015276,2.5922438555637446,4.625377178376454,1.963904122396411,5.85526207666918,ok
eval_0012,0.0010673335267028393,5.4089118354105555e-09,-0.10753236335944774,-5.4888116276240885e-09,-8.852031782362825e-12,294.94007333717764,294.0624084387619,295.3605656909917,294.6400733371777,1.0,1.0,296.7289626356506,ok
eval_0013,0.007048824638033333,3.438295324077507e-08,0.48741808035732376,8.250943793069834e-09,1.5192102508246404e-09,4.801657036946704,4.929160873612075,3.9573979234086334,4.523115051064999,0.9139043921771381,0.9430421803675563,7.098755470436107,ok
eval_0014,0.0026031957007587427,3.65335692067483e-08,0.40426136757191494,-9.22262052615982e-09,5.231973537279009e-10,294.94007333717764,294.0624084387619,295.3605656909917,294.6400733371777,1.0,1.0,296.7289626356506,ok
eval_0015,0.06914109615867857,-2.869334141416669e-09,-0.31046186446527013,-1.591325198756287e-09,1.3068794562461955e-09,3.1486377312200498,2.6007840222876504,2.0710933983805226,2.3799649650127948,4.024635956964971,1.099849151083396,5.311001363745352,ok
eval_0016,0.0002173924299790075,1.4890724103372365e-09,-0.04826034409361366,1.4823485490053445e-08,4.636666952041102e-11,2.12696869236268,1.7673014605569417,1.913085215090525,1.8335258209018837,0.9785233748516325,0.9777624348870089,4.343574123784447,ok
eval_0017,0.5643569458840938,1.863795847444941e-08,-0.7387632192482475,-1.0664405950418603e-08,-1.3424131118065508e-09,294.94007333717764,294.0624084387619,295.3605656909917,294.6400733371777,1.0,1.0,296.7289626356506,ok
