% STANDARD_SRAM_V1_7. Unit: um.
% x1 y1 x2 y2 layer_num label
-2.6370 -3.8670 -2.6370 -3.8670 1 None
-3.5480 -4.2930 -3.5480 -4.2930 1 None
0.0420 0.0000 0.0840 0.0620 1 None
0.0840 0.0000 0.1260 0.0620 1 None
0.1510 -0.0130 0.1510 -0.0130 1 None
0.1260 0.0000 0.1680 0.0620 1 None
0.0000 0.0000 0.0420 0.0620 1 None
0.0840 0.0620 0.1260 0.1240 1 None
0.2100 0.0620 0.2520 0.1240 1 None
0.2350 0.1370 0.2350 0.1370 1 None
0.1680 0.0620 0.2100 0.1240 1 None
0.1260 0.0620 0.1680 0.1240 1 None
0.2520 0.0000 0.2940 0.0620 1 None
0.2100 0.0000 0.2520 0.0620 1 None
0.1850 -0.0130 0.1850 -0.0130 1 None
0.1680 0.0000 0.2100 0.0620 1 None
0.2940 0.0000 0.3360 0.0620 1 None
0.3780 0.0620 0.4200 0.1240 1 None
0.2520 0.0620 0.2940 0.1240 1 None
0.2690 0.1370 0.2690 0.1370 1 None
0.2940 0.0620 0.3360 0.1240 1 None
0.3360 0.0620 0.3780 0.1240 1 None
0.4200 0.0000 0.4620 0.0620 1 None
0.4620 0.0000 0.5040 0.0620 1 None
0.5290 -0.0130 0.5290 -0.0130 1 None
0.5040 0.0000 0.5460 0.0620 1 None
0.3780 0.0000 0.4200 0.0620 1 None
0.4620 0.0620 0.5040 0.1240 1 None
0.5880 0.0620 0.6300 0.1240 1 None
0.6130 0.1370 0.6130 0.1370 1 None
0.5460 0.0620 0.5880 0.1240 1 None
0.5040 0.0620 0.5460 0.1240 1 None
0.6300 0.0000 0.6720 0.0620 1 None
0.5880 0.0000 0.6300 0.0620 1 None
0.5630 -0.0130 0.5630 -0.0130 1 None
0.5460 0.0000 0.5880 0.0620 1 None
0.6720 0.0000 0.7140 0.0620 1 None
0.7560 0.0620 0.7980 0.1240 1 None
0.6300 0.0620 0.6720 0.1240 1 None
0.6470 0.1370 0.6470 0.1370 1 None
0.6720 0.0620 0.7140 0.1240 1 None
0.7140 0.0620 0.7560 0.1240 1 None
0.3360 0.0000 0.3780 0.0620 1 None
0.4190 0.0620 0.4610 0.1240 1 None
0.0150 0.0110 0.0270 0.0510 7 None
0.0570 0.0110 0.0690 0.0510 7 None
0.1410 0.0110 0.1530 0.0510 7 None
0.0990 0.0110 0.1110 0.0510 7 None
0.1830 0.0730 0.1950 0.1130 7 None
0.2250 0.0730 0.2370 0.1130 7 None
0.1410 0.0730 0.1530 0.1130 7 None
0.0990 0.0730 0.1110 0.1130 7 None
0.3090 0.0110 0.3210 0.0510 7 None
0.2670 0.0110 0.2790 0.0510 7 None
0.1830 0.0110 0.1950 0.0510 7 None
0.2250 0.0110 0.2370 0.0510 7 None
0.3090 0.0730 0.3210 0.1130 7 None
0.2670 0.0730 0.2790 0.1130 7 None
0.3510 0.0730 0.3630 0.1130 7 None
0.3930 0.0730 0.4050 0.1130 7 None
0.3930 0.0110 0.4050 0.0510 7 None
0.4350 0.0110 0.4470 0.0510 7 None
0.5190 0.0110 0.5310 0.0510 7 None
0.4770 0.0110 0.4890 0.0510 7 None
0.5610 0.0730 0.5730 0.1130 7 None
0.6030 0.0730 0.6150 0.1130 7 None
0.5190 0.0730 0.5310 0.1130 7 None
0.4770 0.0730 0.4890 0.1130 7 None
0.6870 0.0110 0.6990 0.0510 7 None
0.6450 0.0110 0.6570 0.0510 7 None
0.5610 0.0110 0.5730 0.0510 7 None
0.6030 0.0110 0.6150 0.0510 7 None
0.6870 0.0730 0.6990 0.1130 7 None
0.6450 0.0730 0.6570 0.1130 7 None
0.7290 0.0730 0.7410 0.1130 7 None
0.7710 0.0730 0.7830 0.1130 7 None
-0.0060 0.0110 0.0060 0.0510 16 None
0.0360 0.0110 0.0480 0.0680 16 None
0.0780 -0.0060 0.0900 0.0510 16 None
0.1200 0.0110 0.1320 0.0510 16 None
0.1620 0.0110 0.1740 0.0510 16 None
0.0990 0.0110 0.1110 0.0680 16 None
0.0570 0.0110 0.0690 0.0680 16 None
0.1410 0.0560 0.1530 0.1130 16 None
0.1830 0.0560 0.1950 0.1130 16 None
0.2460 0.0730 0.2580 0.1130 16 None
0.2040 0.0730 0.2160 0.1130 16 None
0.1620 0.0730 0.1740 0.1300 16 None
0.1200 0.0560 0.1320 0.1130 16 None
0.0780 0.0730 0.0900 0.1130 16 None
0.3300 0.0110 0.3420 0.0510 16 None
0.2880 0.0110 0.3000 0.0680 16 None
0.2460 -0.0060 0.2580 0.0510 16 None
0.2040 0.0110 0.2160 0.0510 16 None
0.2250 0.0110 0.2370 0.0680 16 None
0.2670 0.0110 0.2790 0.0680 16 None
0.3510 0.0560 0.3630 0.1130 16 None
0.3090 0.0560 0.3210 0.1130 16 None
0.2880 0.0730 0.3000 0.1130 16 None
0.3300 0.0730 0.3420 0.1300 16 None
0.3720 0.0560 0.3840 0.1130 16 None
0.4130 0.0730 0.4250 0.1130 16 None
0.4140 0.0110 0.4260 0.0680 16 None
0.4560 -0.0060 0.4680 0.0510 16 None
0.4980 0.0110 0.5100 0.0510 16 None
0.5400 0.0110 0.5520 0.0510 16 None
0.4770 0.0110 0.4890 0.0680 16 None
0.4350 0.0110 0.4470 0.0680 16 None
0.5190 0.0560 0.5310 0.1130 16 None
0.5610 0.0560 0.5730 0.1130 16 None
0.6240 0.0730 0.6360 0.1130 16 None
0.5820 0.0730 0.5940 0.1130 16 None
0.5400 0.0730 0.5520 0.1300 16 None
0.4980 0.0560 0.5100 0.1130 16 None
0.7080 0.0110 0.7200 0.0510 16 None
0.6660 0.0110 0.6780 0.0680 16 None
0.6240 -0.0060 0.6360 0.0510 16 None
0.5820 0.0110 0.5940 0.0510 16 None
0.6030 0.0110 0.6150 0.0680 16 None
0.6450 0.0110 0.6570 0.0680 16 None
0.7290 0.0560 0.7410 0.1130 16 None
0.6870 0.0560 0.6990 0.1130 16 None
0.6660 0.0730 0.6780 0.1130 16 None
0.7080 0.0730 0.7200 0.1300 16 None
0.7500 0.0560 0.7620 0.1130 16 None
0.7920 0.0730 0.8040 0.1130 16 None
0.0360 0.0560 0.0480 0.0680 17 Q_1
0.0990 0.0560 0.1110 0.0680 17 QB_1
0.0570 0.0560 0.0690 0.0680 17 None
0.1420 0.0560 0.1540 0.0680 17 None
0.1840 0.0560 0.1960 0.0680 17 QB_2
0.1210 0.0560 0.1330 0.0680 17 Q_2
0.2880 0.0560 0.3000 0.0680 17 None
0.2250 0.0560 0.2370 0.0680 17 None
0.2670 0.0560 0.2790 0.0680 17 None
0.3520 0.0560 0.3640 0.0680 17 None
0.3100 0.0560 0.3220 0.0680 17 None
0.3730 0.0560 0.3850 0.0680 17 None
0.4140 0.0560 0.4260 0.0680 17 None
0.4770 0.0560 0.4890 0.0680 17 None
0.4350 0.0560 0.4470 0.0680 17 None
0.5200 0.0560 0.5320 0.0680 17 None
0.5620 0.0560 0.5740 0.0680 17 None
0.4990 0.0560 0.5110 0.0680 17 None
0.6660 0.0560 0.6780 0.0680 17 None
0.6030 0.0560 0.6150 0.0680 17 None
0.6450 0.0560 0.6570 0.0680 17 None
0.7300 0.0560 0.7420 0.0680 17 None
0.6880 0.0560 0.7000 0.0680 17 None
0.7510 0.0560 0.7630 0.0680 17 None
0.3940 0.0940 0.4040 0.1040 18 None
0.3940 0.0200 0.4040 0.0300 18 None
0.6460 0.0380 0.6560 0.0480 18 None
0.5830 0.0380 0.5930 0.0480 18 None
0.6250 -0.0050 0.6350 0.0050 18 None
0.7090 0.0380 0.7190 0.0480 18 None
0.7300 0.0760 0.7400 0.0860 18 None
0.7090 0.1190 0.7190 0.1290 18 None
0.6670 0.0760 0.6770 0.0860 18 None
0.6890 0.0570 0.6990 0.0670 18 None
0.7520 0.0570 0.7620 0.0670 18 None
0.7720 0.0940 0.7820 0.1040 18 None
0.6460 0.0940 0.6560 0.1040 18 None
0.7930 0.0760 0.8030 0.0860 18 None
0.6040 0.0570 0.6140 0.0670 18 None
0.6670 0.0570 0.6770 0.0670 18 None
0.6880 0.0200 0.6980 0.0300 18 None
0.5620 0.0200 0.5720 0.0300 18 None
0.6040 0.0940 0.6140 0.1040 18 None
0.4780 0.0940 0.4880 0.1040 18 None
0.5000 0.0570 0.5100 0.0670 18 None
0.5630 0.0570 0.5730 0.0670 18 None
0.5200 0.0760 0.5300 0.0860 18 None
0.5830 0.0760 0.5930 0.0860 18 None
0.5410 0.1190 0.5510 0.1290 18 None
0.6250 0.0760 0.6350 0.0860 18 None
0.4360 0.0380 0.4460 0.0480 18 None
0.5410 0.0380 0.5510 0.0480 18 None
0.4570 -0.0050 0.4670 0.0050 18 None
0.4990 0.0380 0.5090 0.0480 18 None
0.4780 0.0570 0.4880 0.0670 18 None
0.4150 0.0570 0.4250 0.0670 18 None
0.4140 0.0760 0.4240 0.0860 18 None
0.5200 0.0200 0.5300 0.0300 18 None
0.0580 0.0380 0.0680 0.0480 18 None
0.1210 0.0380 0.1310 0.0480 18 None
0.0790 -0.0050 0.0890 0.0050 18 None
-0.0050 0.0380 0.0050 0.0480 18 None
0.1630 0.0380 0.1730 0.0480 18 None
0.1420 0.0760 0.1520 0.0860 18 None
0.2470 0.0760 0.2570 0.0860 18 None
0.0790 0.0760 0.0890 0.0860 18 None
0.1630 0.1190 0.1730 0.1290 18 None
0.2050 0.0760 0.2150 0.0860 18 None
0.1850 0.0570 0.1950 0.0670 18 None
0.1220 0.0570 0.1320 0.0670 18 None
0.1000 0.0940 0.1100 0.1040 18 None
0.2260 0.0940 0.2360 0.1040 18 None
0.1840 0.0200 0.1940 0.0300 18 None
0.3100 0.0200 0.3200 0.0300 18 None
0.2890 0.0570 0.2990 0.0670 18 None
0.2260 0.0570 0.2360 0.0670 18 None
0.2680 0.0380 0.2780 0.0480 18 None
0.2050 0.0380 0.2150 0.0480 18 None
0.2470 -0.0050 0.2570 0.0050 18 None
0.3310 0.0380 0.3410 0.0480 18 None
0.3520 0.0760 0.3620 0.0860 18 None
0.3310 0.1190 0.3410 0.1290 18 None
0.2890 0.0760 0.2990 0.0860 18 None
0.3110 0.0570 0.3210 0.0670 18 None
0.3740 0.0570 0.3840 0.0670 18 None
0.1420 0.0200 0.1520 0.0300 18 None
0.2680 0.0940 0.2780 0.1040 18 None
0.0160 0.0200 0.0260 0.0300 18 None
0.0370 0.0570 0.0470 0.0670 18 None
0.1000 0.0570 0.1100 0.0670 18 None
0.0150 0.0200 0.1530 0.0300 19 WL_1
0.0360 0.0560 0.1110 0.0680 19 None
0.0570 0.0370 0.1320 0.0490 19 None
0.1510 0.0370 0.1740 0.0490 19 BLB_1
-0.0060 0.0370 0.0160 0.0490 19 BL_1
0.0000 -0.0110 0.1680 0.0110 19 VSS_1
0.0840 0.1130 0.2520 0.1350 19 VSS_2
0.0780 0.0750 0.1000 0.0870 19 None
0.2350 0.0750 0.2580 0.0870 19 None
0.1410 0.0750 0.2160 0.0870 19 None
0.1210 0.0560 0.1960 0.0680 19 None
0.0990 0.0940 0.2370 0.1040 19 WLB_1
0.1830 0.0200 0.3210 0.0300 19 None
0.2250 0.0560 0.3000 0.0680 19 None
0.2040 0.0370 0.2790 0.0490 19 None
0.3200 0.0370 0.3420 0.0490 19 None
0.1680 -0.0110 0.3360 0.0110 19 None
0.2520 0.1130 0.4200 0.1350 19 None
0.2880 0.0750 0.3630 0.0870 19 None
0.3100 0.0560 0.3850 0.0680 19 None
0.2670 0.0940 0.4050 0.1040 19 None
0.4030 0.0750 0.4250 0.0870 19 None
0.3930 0.0200 0.5310 0.0300 19 None
0.4140 0.0560 0.4890 0.0680 19 None
0.4350 0.0370 0.5100 0.0490 19 None
0.5290 0.0370 0.5520 0.0490 19 None
0.3780 -0.0110 0.5460 0.0110 19 None
0.4620 0.1130 0.6300 0.1350 19 None
0.6130 0.0750 0.6360 0.0870 19 None
0.5190 0.0750 0.5940 0.0870 19 None
0.4990 0.0560 0.5740 0.0680 19 None
0.4770 0.0940 0.6150 0.1040 19 None
0.5610 0.0200 0.6990 0.0300 19 None
0.6030 0.0560 0.6780 0.0680 19 None
0.5820 0.0370 0.6570 0.0490 19 None
0.6980 0.0370 0.7200 0.0490 19 None
0.5460 -0.0110 0.7140 0.0110 19 None
0.6300 0.1130 0.7980 0.1350 19 None
0.6660 0.0750 0.7410 0.0870 19 None
0.6880 0.0560 0.7630 0.0680 19 None
0.6450 0.0940 0.7830 0.1040 19 None
0.7820 0.0750 0.8040 0.0870 19 None
0.0790 -0.0050 0.0890 0.0050 52 None
0.0580 0.0380 0.0680 0.0480 52 None
0.1210 0.0380 0.1310 0.0480 52 None
0.2050 0.0760 0.2150 0.0860 52 None
0.1420 0.0760 0.1520 0.0860 52 None
0.1630 0.1190 0.1730 0.1290 52 None
0.2470 -0.0050 0.2570 0.0050 52 None
0.2680 0.0380 0.2780 0.0480 52 None
0.2050 0.0380 0.2150 0.0480 52 None
0.2890 0.0760 0.2990 0.0860 52 None
0.3520 0.0760 0.3620 0.0860 52 None
0.3310 0.1190 0.3410 0.1290 52 None
0.4570 -0.0050 0.4670 0.0050 52 None
0.4360 0.0380 0.4460 0.0480 52 None
0.4990 0.0380 0.5090 0.0480 52 None
0.5830 0.0760 0.5930 0.0860 52 None
0.5200 0.0760 0.5300 0.0860 52 None
0.5410 0.1190 0.5510 0.1290 52 None
0.6250 -0.0050 0.6350 0.0050 52 None
0.6460 0.0380 0.6560 0.0480 52 None
0.5830 0.0380 0.5930 0.0480 52 None
0.6670 0.0760 0.6770 0.0860 52 None
0.7300 0.0760 0.7400 0.0860 52 None
0.7090 0.1190 0.7190 0.1290 52 None
0.0570 0.0370 0.1320 0.0490 53 None
0.0000 -0.0110 0.1680 0.0110 53 VDD_1
0.0840 0.1130 0.2520 0.1350 53 VDD_2
0.1410 0.0750 0.2160 0.0870 53 None
0.2040 0.0370 0.2790 0.0490 53 None
0.1680 -0.0110 0.3360 0.0110 53 None
0.2520 0.1130 0.4200 0.1350 53 None
0.2880 0.0750 0.3630 0.0870 53 None
0.4350 0.0370 0.5100 0.0490 53 None
0.3780 -0.0110 0.5460 0.0110 53 None
0.4620 0.1130 0.6300 0.1350 53 None
0.5190 0.0750 0.5940 0.0870 53 None
0.5820 0.0370 0.6570 0.0490 53 None
0.5460 -0.0110 0.7140 0.0110 53 None
0.6300 0.1130 0.7980 0.1350 53 None
0.6660 0.0750 0.7410 0.0870 53 None
0.0360 0.0110 0.0480 0.0680 51 None
0.0780 -0.0060 0.0900 0.0510 51 None
0.1200 0.0110 0.1320 0.0510 51 None
0.0990 0.0110 0.1110 0.0680 51 None
0.0570 0.0110 0.0690 0.0680 51 None
0.1410 0.0560 0.1530 0.1130 51 None
0.1830 0.0560 0.1950 0.1130 51 None
0.2040 0.0730 0.2160 0.1130 51 None
0.1620 0.0730 0.1740 0.1300 51 None
0.1200 0.0560 0.1320 0.1130 51 None
0.2880 0.0110 0.3000 0.0680 51 None
0.2460 -0.0060 0.2580 0.0510 51 None
0.2040 0.0110 0.2160 0.0510 51 None
0.2250 0.0110 0.2370 0.0680 51 None
0.2670 0.0110 0.2790 0.0680 51 None
0.3510 0.0560 0.3630 0.1130 51 None
0.3090 0.0560 0.3210 0.1130 51 None
0.2880 0.0730 0.3000 0.1130 51 None
0.3300 0.0730 0.3420 0.1300 51 None
0.3720 0.0560 0.3840 0.1130 51 None
0.4140 0.0110 0.4260 0.0680 51 None
0.4560 -0.0060 0.4680 0.0510 51 None
0.4980 0.0110 0.5100 0.0510 51 None
0.4770 0.0110 0.4890 0.0680 51 None
0.4350 0.0110 0.4470 0.0680 51 None
0.5190 0.0560 0.5310 0.1130 51 None
0.5610 0.0560 0.5730 0.1130 51 None
0.5820 0.0730 0.5940 0.1130 51 None
0.5400 0.0730 0.5520 0.1300 51 None
0.4980 0.0560 0.5100 0.1130 51 None
0.6660 0.0110 0.6780 0.0680 51 None
0.6240 -0.0060 0.6360 0.0510 51 None
0.5820 0.0110 0.5940 0.0510 51 None
0.6030 0.0110 0.6150 0.0680 51 None
0.6450 0.0110 0.6570 0.0680 51 None
0.7290 0.0560 0.7410 0.1130 51 None
0.6870 0.0560 0.6990 0.1130 51 None
0.6660 0.0730 0.6780 0.1130 51 None
0.7080 0.0730 0.7200 0.1300 51 None
0.7500 0.0560 0.7620 0.1130 51 None
