Vg,Vd,Id
0.8,0.05,3.796e-05
0.805,0.05,3.811e-05
0.81,0.05,3.825e-05
0.815,0.05,3.839e-05
0.82,0.05,3.852e-05
0.825,0.05,3.866e-05
0.83,0.05,3.879e-05
0.835,0.05,3.893e-05
0.84,0.05,3.906e-05
0.845,0.05,3.919e-05
0.85,0.05,3.931e-05
0.855,0.05,3.944e-05
0.86,0.05,3.956e-05
0.865,0.05,3.968e-05
0.87,0.05,3.98e-05
0.875,0.05,3.992e-05
0.88,0.05,4.004e-05
0.885,0.05,4.015e-05
0.89,0.05,4.027e-05
0.895,0.05,4.038e-05
0.9,0.05,4.049e-05
0.905,0.05,4.06e-05
0.91,0.05,4.071e-05
0.915,0.05,4.082e-05
0.92,0.05,4.093e-05
0.925,0.05,4.103e-05
0.93,0.05,4.113e-05
0.935,0.05,4.124e-05
0.94,0.05,4.134e-05
0.945,0.05,4.144e-05
0.95,0.05,4.154e-05
0.955,0.05,4.163e-05
0.96,0.05,4.173e-05
0.965,0.05,4.183e-05
0.97,0.05,4.192e-05
0.975,0.05,4.201e-05
0.98,0.05,4.211e-05
0.985,0.05,4.22e-05
0.99,0.05,4.229e-05
0.995,0.05,4.238e-05
1.0,0.05,4.246e-05
1.005,0.05,4.255e-05
1.01,0.05,4.264e-05
1.015,0.05,4.272e-05
1.02,0.05,4.281e-05
1.025,0.05,4.289e-05
1.03,0.05,4.297e-05
1.035,0.05,4.306e-05
1.04,0.05,4.314e-05
1.045,0.05,4.322e-05
1.05,0.05,4.33e-05
1.055,0.05,4.337e-05
1.06,0.05,4.345e-05
1.065,0.05,4.353e-05
1.07,0.05,4.361e-05
1.075,0.05,4.368e-05
1.08,0.05,4.376e-05
1.085,0.05,4.383e-05
1.09,0.05,4.39e-05
1.095,0.05,4.398e-05
1.1,0.05,4.405e-05
1.105,0.05,4.412e-05
1.11,0.05,4.419e-05
1.115,0.05,4.426e-05
1.12,0.05,4.433e-05
1.125,0.05,4.44e-05
1.13,0.05,4.446e-05
1.135,0.05,4.453e-05
1.14,0.05,4.46e-05
1.145,0.05,4.466e-05
1.15,0.05,4.473e-05
1.155,0.05,4.48e-05
1.16,0.05,4.486e-05
1.165,0.05,4.492e-05
1.17,0.05,4.499e-05
1.175,0.05,4.505e-05
1.18,0.05,4.511e-05
1.185,0.05,4.517e-05
1.19,0.05,4.523e-05
1.195,0.05,4.529e-05
1.2,0.05,4.535e-05
1.205,0.05,4.541e-05
1.21,0.05,4.547e-05
1.215,0.05,4.553e-05
1.22,0.05,4.559e-05
1.225,0.05,4.565e-05
1.23,0.05,4.57e-05
1.235,0.05,4.576e-05
1.24,0.05,4.582e-05
1.245,0.05,4.587e-05
1.25,0.05,4.593e-05
1.255,0.05,4.598e-05
1.26,0.05,4.604e-05
1.265,0.05,4.609e-05
1.27,0.05,4.615e-05
1.275,0.05,4.62e-05
1.28,0.05,4.625e-05
1.285,0.05,4.63e-05
1.29,0.05,4.636e-05
1.295,0.05,4.641e-05
1.3,0.05,4.646e-05
1.305,0.05,4.651e-05
1.31,0.05,4.656e-05
1.315,0.05,4.661e-05
1.32,0.05,4.666e-05
1.325,0.05,4.671e-05
1.33,0.05,4.676e-05
1.335,0.05,4.681e-05
1.34,0.05,4.685e-05
1.345,0.05,4.69e-05
1.35,0.05,4.695e-05
1.355,0.05,4.7e-05
1.36,0.05,4.704e-05
1.365,0.05,4.709e-05
1.37,0.05,4.714e-05
1.375,0.05,4.718e-05
1.38,0.05,4.723e-05
1.385,0.05,4.727e-05
1.39,0.05,4.732e-05
1.395,0.05,4.736e-05
1.4,0.05,4.741e-05
1.405,0.05,4.745e-05
1.41,0.05,4.75e-05
1.415,0.05,4.754e-05
1.42,0.05,4.758e-05
-0.12,0.7,3.389e-11
-0.115,0.7,4.014e-11
-0.11,0.7,4.756e-11
-0.105,0.7,5.634e-11
-0.1,0.7,6.675e-11
-0.095,0.7,7.907e-11
-0.09,0.7,9.368e-11
-0.085,0.7,1.11e-10
-0.08,0.7,1.315e-10
-0.075,0.7,1.558e-10
-0.07,0.7,1.845e-10
-0.065,0.7,2.186e-10
-0.06,0.7,2.59e-10
-0.055,0.7,3.068e-10
-0.05,0.7,3.635e-10
-0.045,0.7,4.306e-10
-0.04,0.7,5.102e-10
-0.035,0.7,6.044e-10
-0.03,0.7,7.16e-10
-0.025,0.7,8.482e-10
-0.02,0.7,1.005e-09
-0.015,0.7,1.19e-09
-0.01,0.7,1.41e-09
-0.005,0.7,1.671e-09
0.0,0.7,1.979e-09
0.005,0.7,2.344e-09
0.01,0.7,2.777e-09
0.015,0.7,3.29e-09
0.02,0.7,3.897e-09
0.025,0.7,4.616e-09
0.03,0.7,5.468e-09
0.035,0.7,6.476e-09
0.04,0.7,7.671e-09
0.045,0.7,9.085e-09
0.05,0.7,1.076e-08
0.055,0.7,1.274e-08
0.06,0.7,1.509e-08
0.065,0.7,1.786e-08
0.07,0.7,2.115e-08
0.075,0.7,2.504e-08
0.08,0.7,2.963e-08
0.085,0.7,3.507e-08
0.09,0.7,4.149e-08
0.095,0.7,4.908e-08
0.1,0.7,5.804e-08
0.105,0.7,6.862e-08
0.11,0.7,8.109e-08
0.115,0.7,9.578e-08
0.12,0.7,1.131e-07
0.125,0.7,1.334e-07
0.13,0.7,1.573e-07
0.135,0.7,1.854e-07
0.14,0.7,2.182e-07
0.145,0.7,2.567e-07
0.15,0.7,3.015e-07
0.155,0.7,3.537e-07
0.16,0.7,4.143e-07
0.165,0.7,4.845e-07
0.17,0.7,5.655e-07
0.175,0.7,6.588e-07
0.18,0.7,7.659e-07
0.185,0.7,8.882e-07
0.19,0.7,1.027e-06
0.195,0.7,1.185e-06
0.2,0.7,1.363e-06
0.205,0.7,1.564e-06
0.21,0.7,1.788e-06
0.215,0.7,2.038e-06
0.22,0.7,2.316e-06
0.225,0.7,2.623e-06
0.23,0.7,2.961e-06
0.235,0.7,3.331e-06
0.24,0.7,3.736e-06
0.245,0.7,4.176e-06
0.25,0.7,4.654e-06
0.255,0.7,5.17e-06
0.26,0.7,5.726e-06
0.265,0.7,6.323e-06
0.27,0.7,6.961e-06
0.275,0.7,7.643e-06
0.28,0.7,8.368e-06
0.285,0.7,9.138e-06
0.29,0.7,9.952e-06
0.295,0.7,1.081e-05
0.3,0.7,1.172e-05
0.305,0.7,1.267e-05
0.31,0.7,1.367e-05
0.315,0.7,1.471e-05
0.32,0.7,1.58e-05
0.325,0.7,1.694e-05
0.33,0.7,1.812e-05
0.335,0.7,1.935e-05
0.34,0.7,2.062e-05
0.345,0.7,2.194e-05
0.35,0.7,2.331e-05
0.355,0.7,2.471e-05
0.36,0.7,2.616e-05
0.365,0.7,2.765e-05
0.37,0.7,2.919e-05
0.375,0.7,3.076e-05
0.38,0.7,3.238e-05
0.385,0.7,3.403e-05
0.39,0.7,3.572e-05
0.395,0.7,3.745e-05
0.4,0.7,3.922e-05
0.405,0.7,4.102e-05
0.41,0.7,4.286e-05
0.415,0.7,4.473e-05
0.42,0.7,4.663e-05
0.425,0.7,4.857e-05
0.43,0.7,5.053e-05
0.435,0.7,5.253e-05
0.44,0.7,5.455e-05
0.445,0.7,5.66e-05
0.45,0.7,5.867e-05
0.455,0.7,6.077e-05
0.46,0.7,6.29e-05
0.465,0.7,6.504e-05
0.47,0.7,6.721e-05
0.475,0.7,6.94e-05
0.48,0.7,7.161e-05
0.485,0.7,7.384e-05
0.49,0.7,7.609e-05
0.495,0.7,7.835e-05
0.5,0.7,8.063e-05
0.505,0.7,8.293e-05
0.51,0.7,8.524e-05
0.515,0.7,8.756e-05
0.52,0.7,8.99e-05
0.525,0.7,9.225e-05
0.53,0.7,9.461e-05
0.535,0.7,9.698e-05
0.54,0.7,9.936e-05
0.545,0.7,0.0001018
0.55,0.7,0.0001041
0.555,0.7,0.0001066
0.56,0.7,0.000109
0.565,0.7,0.0001114
0.57,0.7,0.0001138
0.575,0.7,0.0001163
0.58,0.7,0.0001187
0.585,0.7,0.0001211
0.59,0.7,0.0001236
0.595,0.7,0.000126
0.6,0.7,0.0001285
0.605,0.7,0.000131
0.61,0.7,0.0001334
0.615,0.7,0.0001359
0.62,0.7,0.0001383
0.625,0.7,0.0001408
0.63,0.7,0.0001433
0.635,0.7,0.0001458
0.64,0.7,0.0001482
0.645,0.7,0.0001507
0.65,0.7,0.0001532
0.655,0.7,0.0001556
0.66,0.7,0.0001581
0.665,0.7,0.0001606
0.67,0.7,0.0001631
0.675,0.7,0.0001655
0.68,0.7,0.000168
0.685,0.7,0.0001705
0.69,0.7,0.0001729
0.695,0.7,0.0001754
0.7,0.7,0.0001779
0.705,0.7,0.0001803
0.71,0.7,0.0001828
0.715,0.7,0.0001853
0.72,0.7,0.0001877
0.725,0.7,0.0001902
0.73,0.7,0.0001926
0.735,0.7,0.0001951
0.74,0.7,0.0001975
0.745,0.7,0.0002
0.75,0.7,0.0002024
0.755,0.7,0.0002048
0.76,0.7,0.0002073
0.765,0.7,0.0002097
0.77,0.7,0.0002121
0.775,0.7,0.0002146
0.78,0.7,0.000217
0.785,0.7,0.0002194
0.79,0.7,0.0002218
0.795,0.7,0.0002243
0.8,0.7,0.0002267
0.805,0.7,0.0002291
0.81,0.7,0.0002315
0.815,0.7,0.0002339
0.82,0.7,0.0002363
0.825,0.7,0.0002387
0.83,0.7,0.0002411
0.835,0.7,0.0002434
0.84,0.7,0.0002458
0.845,0.7,0.0002482
0.85,0.7,0.0002506
0.855,0.7,0.000253
0.86,0.7,0.0002553
0.865,0.7,0.0002577
0.87,0.7,0.00026
0.875,0.7,0.0002624
0.88,0.7,0.0002647
0.885,0.7,0.0002671
0.89,0.7,0.0002694
0.895,0.7,0.0002718
0.9,0.7,0.0002741
0.905,0.7,0.0002764
0.91,0.7,0.0002788
0.915,0.7,0.0002811
0.92,0.7,0.0002834
0.925,0.7,0.0002857
0.93,0.7,0.000288
0.935,0.7,0.0002903
0.94,0.7,0.0002926
0.945,0.7,0.0002949
0.95,0.7,0.0002972
0.955,0.7,0.0002995
0.96,0.7,0.0003017
0.965,0.7,0.000304
0.97,0.7,0.0003063
0.975,0.7,0.0003085
0.98,0.7,0.0003108
0.985,0.7,0.000313
0.99,0.7,0.0003153
0.995,0.7,0.0003175
1.0,0.7,0.0003198
1.005,0.7,0.000322
1.01,0.7,0.0003242
1.015,0.7,0.0003264
1.02,0.7,0.0003287
1.025,0.7,0.0003309
1.03,0.7,0.0003331
1.035,0.7,0.0003353
1.04,0.7,0.0003375
1.045,0.7,0.0003396
1.05,0.7,0.0003418
1.055,0.7,0.000344
1.06,0.7,0.0003462
1.065,0.7,0.0003483
1.07,0.7,0.0003505
1.075,0.7,0.0003526
1.08,0.7,0.0003548
1.085,0.7,0.0003569
1.09,0.7,0.000359
1.095,0.7,0.0003611
1.1,0.7,0.0003633
1.105,0.7,0.0003654
1.11,0.7,0.0003675
1.115,0.7,0.0003696
1.12,0.7,0.0003717
1.125,0.7,0.0003737
1.13,0.7,0.0003758
1.135,0.7,0.0003779
1.14,0.7,0.0003799
