Vg,Id
-0.176508,1.440221e-006
-0.25346,4.649696e-006
-0.297444,9.471622e-006
-0.402177,1.435909e-004
-0.501336,0.00149436
-0.605859,0.0102423
-0.704753,0.0391056
-0.809011,0.0983316
-0.902298,0.227366
-1.00647,0.409277
-1.10513,0.649842
-1.20921,0.837409
-1.30233,1.03464
